"id","input","target","work"
32032,"class _ { public void testGatewayScatterGather() {
Message<?> bestQuoteMessage = this.gateway.exchange(new GenericMessage<String>(""foo""));
Object payload = bestQuoteMessage.getPayload();
assertThat(payload, instanceOf(List.class));
 assertThat(((List) payload).size(), greaterThanOrEqualTo(1));
 } }","class _ { public void testGatewayScatterGather() {
Message<?> bestQuoteMessage = this.gateway.exchange(new GenericMessage<String>(""foo""));
Object payload = bestQuoteMessage.getPayload();
assertThat(payload, instanceOf(List.class));
assertThat(((List<?>) payload).size(), greaterThanOrEqualTo(1));
} }",1
32052,"class _ { public void unsupportedDatabaseTypeIdentified() {
 IllegalArgumentException thrown = Assertions.assertThrows(IllegalArgumentException.class,  () -> new DatabaseInitializer(""a2"", ds, environmentCreateOnStartup(""true"")));
assertThat(thrown.getMessage(), CoreMatchers.containsString(""No ddl script found""));
} }","class _ { public void unsupportedDatabaseTypeIdentified() {
IllegalArgumentException thrown = assertThrows(IllegalArgumentException.class, () -> new DatabaseInitializer(""a2"", ds, environmentCreateOnStartup(""true"")));
assertThat(thrown.getMessage(), containsString(""No ddl script found""));
} }",1
32079,"class _ { private static boolean isApiKey(String value) {
 if (Strings.isNullOrEmpty(value)) {
 return false;
} try {
UUID.fromString(value);
} catch (IllegalArgumentException e) {
return false;
} return true;
} }","class _ { private static boolean isApiKey(String value) {
if (isNullOrEmpty(value)) {
return false;
} try {
UUID.fromString(value);
} catch (IllegalArgumentException e) {
return false;
} return true;
} }",1
32099,"class _ {  public boolean loadSqlCipher(Context context) {
 try {
loadLibs(context);
} catch (UnsatisfiedLinkError ule) {
return extractAndLoadAgain(context, DATABASE_SQLCIPHER, getSupportedAbis());
} catch (Exception ex) {
Log.e(TAG, ""Error loading native libraries for Sqlcipher"", ex);
return false;
} return true;
} }","class _ { public static boolean loadSqlCipher(Context context) {
try {
loadLibs(context);
} catch (UnsatisfiedLinkError ule) {
return extractAndLoadAgain(context, DATABASE_SQLCIPHER, getSupportedAbis());
} catch (Exception ex) {
Log.e(TAG, ""Error loading native libraries for Sqlcipher"", ex);
return false;
} return true;
} }",1
32104,"class _ { public void freshTimestampsDelegatesToTimestampService() {
int numTimestamps = 10;
TimestampRange range = TimestampRange.createInclusiveRange(21L, 30L);
 when(timestampService.getFreshTimestamps(10)).thenReturn(range);
 assertEquals(range, timelock.getFreshTimestamps(numTimestamps));
} }","class _ { public void freshTimestampsDelegatesToTimestampService() {
int numTimestamps = 10;
TimestampRange range = TimestampRange.createInclusiveRange(21L, 30L);
when(timestampService.getFreshTimestamps(numTimestamps)).thenReturn(range);
assertEquals(range, timelock.getFreshTimestamps(numTimestamps));
} }",1
32113,"class _ { public static long getTtlInSecsFromExpiryMs(long expiresAtMs, long creationTimeMs) {
if (expiresAtMs == Utils.Infinite_Time) {
return Utils.Infinite_Time;
}  return Math.max(0, TimeUnit.MILLISECONDS.toSeconds(expiresAtMs - creationTimeMs));
 } }","class _ { public static long getTtlInSecsFromExpiryMs(long expiresAtMs, long creationTimeMs) {
return expiresAtMs == Utils.Infinite_Time ? Utils.Infinite_Time : Math.max(0, TimeUnit.MILLISECONDS.toSeconds(expiresAtMs - creationTimeMs));
} }",1
32131,"class _ { private void assertQuery(String query, byte[] checksum) {
byte[] expected = (byte[]) computeActual(query).getOnlyValue();
for (int i = 0;
i < expected.length;
i++) {
System.err.print(expected[i] + "", "");
 }  assertEquals(computeActual(query).getOnlyValue(), checksum);
} }","class _ { private void assertQuery(String query, byte[] checksum) {
assertEquals(computeActual(query).getOnlyValue(), checksum);
} }",1
32161,"class _ { private static void writeTargetWeightsFile(final File ponFile, final File outputFile) {
Utils.regularReadableUserFile(ponFile);
try (final HDF5File file = new HDF5File(ponFile, HDF5File.OpenMode.READ_ONLY)) {
final HDF5PCACoveragePoN pon = new HDF5PCACoveragePoN(file);
 final double[] targetWeights = DoubleStream.of(pon.getTargetVariances()).boxed().mapToDouble(v -> 1/v).toArray();
 ParamUtils.writeValuesToFile(targetWeights, outputFile);
} } }","class _ { private static void writeTargetWeightsFile(final File ponFile, final File outputFile) {
Utils.regularReadableUserFile(ponFile);
try (final HDF5File file = new HDF5File(ponFile, HDF5File.OpenMode.READ_ONLY)) {
final HDF5PCACoveragePoN pon = new HDF5PCACoveragePoN(file);
final double[] targetWeights = DoubleStream.of(pon.getTargetVariances()).map(v -> 1 / v).toArray();
ParamUtils.writeValuesToFile(targetWeights, outputFile);
} } }",1
32199,"class _ { private char getChar() {
int rndNum = baseProducer.randomBetween(0, 35);
 if (rndNum < 10)  return (char)(49 + rndNum);
else return (char)(65 + rndNum - 10);
} }","class _ { private char getChar() {
int rndNum = baseProducer.randomBetween(0, 35);
if (rndNum < 10) {
return (char) (49 + rndNum);
} else {
return (char) (65 + rndNum - 10);
} } }",1
32202,"class _ { private Invocable lazyGetTemplateInvocable() {
if (templateInvocable == null) {
 synchronized(this) {
 templateInvocable = newTemplateInvocable(params);
} } return templateInvocable;
} }","class _ { private Invocable lazyGetTemplateInvocable() {
if (templateInvocable == null) {
templateInvocable = newTemplateInvocable(params);
} return templateInvocable;
} }",1
